country,variety,count,avg score,avg price
Argentina,Barbera,1,85.0,18.0
Argentina,Merlot-Cabernet Franc,1,87.0,27.0
Argentina,Moscatel,1,81.0,11.0
Argentina,Moscato,10,82.2,9.8
Argentina,Nebbiolo,3,88.66666666666667,63.666666666666664
Argentina,Petit Verdot,8,88.125,39.625
Argentina,Pinot Grigio,26,83.76923076923077,10.961538461538462
Argentina,Pinot Gris,8,84.75,12.571428571428571
Argentina,Pinot Noir,99,85.57575757575758,23.15463917525773
Argentina,Red Blend,216,88.38888888888889,34.02392344497608
Argentina,Riesling,1,86.0,15.0
Argentina,Rosado,3,86.66666666666667,12.0
Argentina,Rosé,36,84.02777777777777,13.571428571428571
Argentina,Sangiovese,2,81.5,18.0
Argentina,Sauvignon Blanc,72,84.20833333333333,14.472222222222221
Argentina,Merlot,57,85.0,17.928571428571427
Argentina,Shiraz-Malbec,1,90.0,16.0
Argentina,Syrah,51,85.70588235294117,17.68
Argentina,Syrah-Bonarda,1,87.0,13.0
Argentina,Syrah-Malbec,1,89.0,14.0
Argentina,Syrah-Viognier,2,91.5,62.5
Argentina,Sémillon,12,83.58333333333333,17.916666666666668
Argentina,Tannat,4,86.5,22.0
Argentina,Tempranillo,19,83.63157894736842,13.157894736842104
Argentina,Tempranillo-Malbec,1,91.0,
Argentina,Tocai,1,85.0,14.0
Argentina,Torrontés,230,85.41739130434783,13.506607929515418
Argentina,Trebbiano,1,83.0,9.0
Argentina,Trousseau,1,88.0,60.0
Argentina,Viognier,20,84.35,13.4
Argentina,White Blend,31,84.80645161290323,20.433333333333334
Argentina,Sparkling Blend,27,84.44444444444444,17.0
Argentina,Malbec-Tempranillo,2,86.5,11.0
Argentina,Shiraz,8,84.375,8.625
Argentina,Malbec-Syrah,14,85.57142857142857,14.785714285714286
Argentina,Bordeaux-style Red Blend,82,89.8780487804878,42.08860759493671
Argentina,Bordeaux-style White Blend,1,83.0,14.0
Argentina,Cabernet Blend,8,88.25,36.25
Argentina,Cabernet Franc,56,89.35714285714286,44.285714285714285
Argentina,Cabernet Franc-Cabernet Sauvignon,3,88.66666666666667,40.666666666666664
Argentina,Cabernet Franc-Malbec,3,91.0,65.33333333333333
Argentina,Cabernet Sauvignon,509,86.01571709233792,19.695049504950497
Argentina,Cabernet Sauvignon-Cabernet Franc,1,84.0,18.0
Argentina,Cabernet Sauvignon-Malbec,11,87.36363636363636,47.81818181818182
Argentina,Cabernet Sauvignon-Merlot,5,87.0,19.0
Argentina,Cabernet Sauvignon-Shiraz,3,85.33333333333333,10.0
Argentina,Cabernet Sauvignon-Syrah,2,86.0,15.0
Argentina,Cabernet-Malbec,1,86.0,11.0
Argentina,Cabernet-Syrah,1,88.0,16.0
Argentina,Champagne Blend,8,85.125,22.571428571428573
Argentina,Malbec-Tannat,3,84.66666666666667,36.666666666666664
Argentina,Chardonnay,279,84.89247311827957,17.373626373626372
Argentina,Malbec-Petit Verdot,2,91.0,39.5
Argentina,Malbec-Merlot,7,86.28571428571429,21.0
Argentina,Malbec-Cabernet Sauvignon,52,88.36538461538461,42.88461538461539
Argentina,Malbec-Cabernet Franc,10,88.7,38.8
Argentina,Malbec-Cabernet,3,91.66666666666667,113.33333333333333
Argentina,Malbec-Bonarda,5,86.4,17.8
Argentina,Bonarda,98,86.38775510204081,16.43877551020408
Argentina,Malbec Blend,2,90.5,66.5
Argentina,Gewürztraminer,1,84.0,25.0
Argentina,Chenin Blanc-Chardonnay,4,85.75,11.0
Argentina,Chenin Blanc,2,84.0,15.5
Argentina,Chardonnay-Viognier,6,85.16666666666667,16.666666666666668
Argentina,Chardonnay-Semillon,1,81.0,13.0
Argentina,Chardonnay-Sauvignon,2,84.5,12.5
Argentina,Malbec,1402,87.46219686162625,28.239396117900792
Armenia,Rosé,1,88.0,15.0
Armenia,Kangoun,1,87.0,14.0
Australia,Zinfandel,3,88.33333333333333,29.333333333333332
Australia,Red Blend,58,87.86206896551724,31.275862068965516
Australia,Rhône-style Red Blend,11,88.45454545454545,26.272727272727273
Australia,Rhône-style White Blend,5,87.8,22.0
Australia,Riesling,142,88.95774647887323,22.237410071942445
Australia,Rosé,25,87.2,18.791666666666668
Australia,Sangiovese,6,87.83333333333333,15.8
Australia,Sauvignon,1,88.0,30.0
Australia,Sauvignon Blanc,50,86.9,17.282608695652176
Australia,Sauvignon Blanc-Semillon,22,87.68181818181819,21.727272727272727
Australia,Savagnin,2,87.5,15.0
Australia,Semillon-Chardonnay,1,85.0,8.0
Australia,Semillon-Sauvignon Blanc,11,85.63636363636364,20.363636363636363
Australia,Shiraz,586,89.63481228668942,47.5368782161235
Australia,Shiraz-Cabernet,2,86.5,47.0
Australia,Port,1,88.0,13.0
Australia,Shiraz-Cabernet Sauvignon,29,87.41379310344827,20.857142857142858
Australia,Shiraz-Malbec,2,90.0,20.0
Australia,Shiraz-Mourvèdre,2,89.0,18.5
Australia,Shiraz-Roussanne,1,90.0,29.0
Australia,Shiraz-Viognier,38,89.57894736842105,53.18421052631579
Australia,Sparkling Blend,32,86.96875,20.84375
Australia,Syrah,16,91.625,105.5
Australia,Sémillon,19,89.36842105263158,30.263157894736842
Australia,Tempranillo,3,89.66666666666667,22.0
Australia,Tokay,6,90.66666666666667,52.0
Australia,Verdelho,5,87.0,15.4
Australia,Vermentino,3,86.33333333333333,15.666666666666666
Australia,Viognier,32,88.21875,23.322580645161292
Australia,Viognier-Marsanne,1,89.0,17.0
Australia,White Blend,18,86.83333333333333,18.5625
Australia,Shiraz-Grenache,14,89.57142857142857,28.857142857142858
Australia,Pinot Noir,119,87.29411764705883,32.4
Australia,Roussanne,6,88.5,45.333333333333336
Australia,Pinot Grigio,25,86.08,13.875
Australia,Durif,2,86.0,32.5
Australia,Chenin Blanc,1,87.0,16.0
Australia,Chardonnay-Semillon,2,90.0,18.5
Australia,Chardonnay,378,87.24603174603175,25.1951871657754
Australia,Champagne Blend,8,86.125,23.5
Australia,Cabernet-Shiraz,1,96.0,150.0
Australia,G-S-M,23,89.21739130434783,28.727272727272727
Australia,Cabernet Sauvignon-Shiraz,10,89.9,45.5
Australia,Cabernet Sauvignon-Merlot-Shiraz,1,91.0,20.0
Australia,Cabernet Sauvignon-Merlot,10,88.6,33.9
Australia,Cabernet Sauvignon,255,89.26666666666667,35.794466403162055
Australia,Cabernet Blend,3,88.66666666666667,37.333333333333336
Australia,Bordeaux-style Red Blend,28,89.14285714285714,65.35714285714286
Australia,Pinot Gris,13,87.23076923076923,18.615384615384617
Australia,Cabernet Sauvignon-Sangiovese,1,88.0,30.0
Australia,Grenache,72,89.48611111111111,45.375
Australia,Cabernet Merlot,5,86.8,23.4
Australia,Malbec,5,86.8,65.6
Australia,Grenache-Shiraz,3,87.33333333333333,22.333333333333332
Australia,Petit Verdot,1,88.0,20.0
Australia,Petite Sirah,5,87.4,23.2
Australia,Muscat,13,92.07692307692308,90.07692307692308
Australia,Muscadelle,6,94.0,160.33333333333334
Australia,Mourvèdre-Syrah,1,92.0,18.0
Australia,Muscat Hamburg,1,90.0,22.0
Australia,Moscato,12,85.25,11.916666666666666
Australia,Montepulciano,1,91.0,25.0
Australia,Merlot,19,85.73684210526316,20.68421052631579
Australia,Mataro,6,90.5,62.166666666666664
Australia,Marsanne-Roussanne,2,88.0,42.5
Australia,Marsanne,5,89.4,25.4
Australia,Mourvèdre,7,91.0,50.285714285714285
Austria,Rotgipfler,21,89.71428571428571,26.6875
Austria,Roter Veltliner,11,90.0909090909091,35.0
Austria,Roter Traminer,5,89.8,30.333333333333332
Austria,Rosé,53,88.0,15.26
Austria,Red Blend,81,89.92592592592592,35.0
Austria,Riesling,550,91.44363636363636,38.06396588486141
Austria,Pinot Noir,93,90.17204301075269,37.42307692307692
Austria,Pinot Gris,13,90.0,25.0
Austria,Sauvignon,2,89.0,26.0
Austria,Pinot Blanc-Chardonnay,1,90.0,23.0
Austria,Rosenmuskateller,2,92.5,150.0
Austria,Sauvignon Blanc,119,89.54621848739495,29.930232558139537
Austria,Sämling,5,91.2,35.5
Austria,Scheurebe,15,91.8,58.69230769230769
Austria,Shiraz,1,91.0,45.0
Austria,Sparkling Blend,47,89.14893617021276,29.695652173913043
Austria,St. Laurent,77,89.83116883116882,32.07936507936508
Austria,Syrah,1,89.0,13.0
Austria,Traminer,17,89.3529411764706,32.785714285714285
Austria,Weissburgunder,31,89.58064516129032,25.217391304347824
Austria,Welschriesling,21,89.47619047619048,30.25
Austria,White Blend,64,90.0,32.26923076923077
Austria,Zierfandler,14,90.42857142857143,32.36363636363637
Austria,Zierfandler-Rotgipfler,5,90.4,23.75
Austria,Pinot Blanc,28,89.32142857142857,25.7
Austria,Zweigelt,174,88.20114942528735,21.226666666666667
Austria,Sauvignon Blanc-Chardonnay,3,91.0,34.5
Austria,Orangetraube,1,90.0,22.0
Austria,Muskat Ottonel,10,87.6,12.375
Austria,Neuburger,8,90.625,24.4
Austria,Nielluciu,1,89.0,24.0
Austria,Austrian Red Blend,59,89.55932203389831,35.64705882352941
Austria,Austrian white blend,71,90.33802816901408,33.301886792452834
