variety,count,avg score,avg price
Pinot Noir,12278,89.42653526633002,47.87520067596113
Chardonnay,10868,88.32305852042694,34.7041414338738
Cabernet Sauvignon,8840,88.61730769230769,48.25219673627753
Red Blend,8243,88.36891908285818,36.085542322960684
Bordeaux-style Red Blend,6471,89.13676402410756,48.05123033481242
Riesling,4773,89.47810601298973,32.60301837270341
Sauvignon Blanc,4575,87.38491803278689,20.170338405632524
Syrah,3828,89.3030303030303,39.05267337215458
Rosé,3220,86.7667701863354,18.45035581158929
Merlot,2896,87.16194751381215,29.2734593837535
Nebbiolo,2607,90.31645569620254,66.29735988883742
Zinfandel,2530,87.7905138339921,29.417987321711568
Sangiovese,2462,88.54833468724614,45.411465557096626
Malbec,2446,87.96811120196239,30.163111668757843
Portuguese Red,2282,88.8387379491674,25.027120315581854
White Blend,2179,87.31344653510784,23.167165668662676
Sparkling Blend,1971,88.04870624048706,29.862628447809627
Tempranillo,1671,87.46798324356672,31.141732283464567
Rhône-style Red Blend,1343,89.15562174236783,35.16601714731099
Pinot Gris,1324,88.45996978851964,23.097791798107256
Champagne Blend,1308,89.70107033639144,71.19400352733686
Cabernet Franc,1243,88.14159292035399,35.058528428093645
Grüner Veltliner,1201,89.98751040799334,28.388616290480865
Portuguese White,1057,86.91106906338695,15.41878453038674
Bordeaux-style White Blend,993,88.74420946626385,35.8488188976378
Pinot Grigio,980,86.18673469387755,16.528907922912207
Gewürztraminer,940,88.56276595744681,26.173814898419863
Gamay,926,88.03239740820734,20.84512683578104
Viognier,922,87.68546637744035,25.83205268935236
Shiraz,790,89.03417721518987,41.69845360824742
Petite Sirah,702,88.11253561253561,31.33095577746077
Sangiovese Grosso,696,90.5632183908046,65.31926605504587
Glera,646,87.23065015479877,20.108695652173914
Barbera,644,87.7468944099379,26.21284403669725
Port,628,89.79458598726114,66.32119914346895
Grenache,607,88.97364085667216,35.847682119205295
"Corvina, Rondinella, Molinara",574,88.2212543554007,48.44298245614035
Tempranillo Blend,553,88.29294755877034,36.27372262773723
Chenin Blanc,546,88.57692307692308,23.451219512195124
Carmenère,533,86.56472795497186,21.16
Albariño,434,87.71198156682027,21.310185185185187
Rhône-style White Blend,395,88.47848101265822,32.78350515463917
Pinot Blanc,395,87.73417721518987,20.597101449275364
Aglianico,339,89.27138643067846,39.45985401459854
Moscato,330,86.23636363636363,16.71523178807947
Nero d'Avola,324,87.44135802469135,23.498269896193772
Garnacha,308,85.87662337662337,22.286644951140065
Sauvignon,282,88.15248226950355,26.384328358208954
Verdejo,266,86.2781954887218,16.166666666666668
Melon,256,88.4375,17.263636363636362
Petit Verdot,254,88.31889763779527,39.884
Garganega,247,87.63157894736842,20.691542288557216
Meritage,240,87.54166666666667,35.76987447698745
Torrontés,234,85.49145299145299,13.722943722943723
Prosecco,229,86.37117903930131,19.333333333333332
Blaufränkisch,213,90.09389671361502,32.59473684210526
Mourvèdre,210,89.25714285714285,35.05288461538461
Primitivo,210,86.95714285714286,25.088082901554404
Vermentino,207,87.6328502415459,22.681081081081082
Montepulciano,199,86.81909547738694,25.349462365591396
Zweigelt,182,88.20879120879121,21.544303797468356
Touriga Nacional,179,88.84916201117318,28.677419354838708
G-S-M,169,88.83431952662721,34.43452380952381
Dolcetto,169,87.22485207100591,22.11464968152866
Tannat,164,88.76829268292683,33.21935483870968
Pinot Nero,162,88.75308641975309,35.226950354609926
Mencía,161,88.6832298136646,28.777070063694268
Tinta de Toro,158,89.57594936708861,46.33757961783439
Roussanne,158,88.54430379746836,28.203821656050955
Verdicchio,148,87.72297297297297,21.682758620689654
Pinot Bianco,143,88.42657342657343,25.17037037037037
Fiano,135,88.2,27.508474576271187
Turbiana,134,88.86567164179104,23.78048780487805
Sémillon,133,88.203007518797,24.589147286821706
Monastrell,130,87.14615384615385,19.875968992248062
Muscat,127,88.66929133858268,30.66115702479339
Pinotage,126,87.3015873015873,22.355371900826448
Vernaccia,124,87.3225806451613,18.75221238938053
Alvarinho,123,88.7479674796748,19.431372549019606
Grenache Blanc,121,88.8099173553719,25.059322033898304
Grillo,119,86.90756302521008,17.854166666666668
Cabernet Sauvignon-Merlot,114,87.65789473684211,27.47787610619469
Friulano,108,87.92592592592592,24.13
Nerello Mascalese,107,89.79439252336448,42.14705882352941
Greco,105,88.37142857142857,26.536082474226806
Viura,102,85.1470588235294,15.1
Sagrantino,98,89.85714285714286,53.36363636363637
Bonarda,98,86.38775510204081,16.43877551020408
Cabernet Sauvignon-Syrah,97,88.95876288659794,36.134020618556704
Rosato,94,86.74468085106383,17.481012658227847
Tinto Fino,92,89.95652173913044,66.20652173913044
Sherry,87,89.7816091954023,33.632183908045974
Malbec-Merlot,86,88.29069767441861,19.7012987012987
Falanghina,82,87.23170731707317,20.91304347826087
St. Laurent,80,89.75,31.90909090909091
Arneis,77,87.24675324675324,20.91549295774648
Godello,76,86.88157894736842,22.333333333333332
Cabernet Blend,75,88.56,51.10666666666667
Negroamaro,75,86.73333333333333,18.37142857142857
Ribolla Gialla,73,87.58904109589041,28.91304347826087
Rosado,73,84.72602739726027,13.28169014084507
Austrian white blend,72,90.31944444444444,33.0
Lagrein,72,88.59722222222223,33.41428571428571
Arinto,70,87.1,16.1
Carignan,68,89.0,47.279411764705884
Fumé Blanc,67,87.8955223880597,22.880597014925375
Spätburgunder,66,90.13636363636364,60.753846153846155
Sauvignon Blanc-Semillon,65,88.1076923076923,26.846153846153847
Cortese,65,86.43076923076923,21.915254237288135
Marsanne,61,88.1311475409836,33.91803278688525
Portuguese Sparkling,60,86.03333333333333,17.304347826086957
Austrian Red Blend,59,89.55932203389831,35.64705882352941
Verdelho,59,87.28813559322033,20.941176470588236
